district,total,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
East Hertfordshire,110139,18959,14893,18440,3481,13145,36867,4354,3721,2941,1259,134,1526
Hertsmere,79841,15502,11257,12601,2290,8950,24588,4653,2517,3692,1192,191,2290
North Hertfordshire,102388,18416,13480,15758,3565,11632,35242,4295,2954,2775,1229,172,1362
St Albans,110590,14268,11061,14763,3076,11518,51251,4653,3414,3747,1562,211,1961
Stevenage,66866,14390,12065,11941,2521,7889,14762,3298,2022,2332,1185,196,941
Three Rivers,69819,12261,9218,11045,2337,8037,23675,3246,2133,2239,876,132,1219
Watford,71693,12513,9501,10752,2104,8361,23082,5380,1963,3202,1449,233,1506
Welwyn Hatfield,90369,15550,11791,13544,2866,14211,27123,5284,2458,11812,3600,1139,7052
Breckland,107507,30057,16104,18149,4276,11917,20046,6958,2661,2183,1017,167,982
Broadland,103657,23744,15328,18098,5651,12388,24026,4422,2644,2146,1137,137,855
Great Yarmouth,79748,26164,12531,12846,3735,8418,11336,4718,2110,2025,794,222,991
King`s Lynn and West Norfolk,122639,35909,17770,19850,4680,13464,23455,7511,3027,2535,1058,224,1228
North Norfolk,86830,23838,12236,14106,4087,9137,19326,4100,1869,1307,566,92,641
Norwich,110805,25073,14129,15342,2858,16885,30722,5796,2071,12844,3709,1054,8050
South Norfolk,101717,22953,13799,17362,4305,11687,27501,4110,2795,2141,1018,139,976
Babergh,71821,16367,10385,12560,2818,8337,18539,2815,2074,1417,682,68,655
Forest Heath,48684,12505,6597,6893,1961,5003,9325,6400,1014,1127,574,61,483
Ipswich,107396,27723,17054,17469,4098,12269,22152,6631,2980,3650,1636,370,1630
Mid Suffolk,78907,17621,10963,13279,3247,9820,20864,3113,2146,1553,798,87,659
St Edmundsbury,90683,20277,13260,15616,3565,10868,22278,4819,2488,2042,1043,128,858
Suffolk Coastal,102401,21592,13784,17078,4221,11582,29678,4466,2812,2069,990,141,922
Waveney,95369,28447,13550,15490,5196,11128,17052,4506,2493,2011,885,250,859
Camden,184873,23451,12556,14454,1558,22340,93453,17061,3276,25130,4778,1452,18861
City of London,6755,454,291,445,47,484,4618,416,69,422,103,30,289
Hackney,195145,38172,17500,19612,1862,18106,81591,18302,4943,17606,4958,1770,10855
Hammersmith and Fulham,152863,19515,10725,12738,1768,16306,75765,16046,2623,13772,3824,869,9036
Haringey,202856,36163,17685,20563,1981,19456,82727,24281,5240,17285,5121,1833,10303
Islington,173300,29448,13943,14552,1743,16904,83276,13434,3229,18558,4250,1500,12779
Kensington and Chelsea,134267,13549,7730,10583,952,13460,70731,17262,2130,11118,2092,586,8407
Lambeth,248300,35352,21169,24408,2640,23988,115758,24985,5190,19056,6365,1990,10646
Lewisham,218749,38763,24225,27248,3160,23694,83127,18532,5742,18527,6630,2421,9433
Newham,238090,49087,27152,26742,2425,23456,71771,37457,7381,35441,13251,4804,17346
Southwark,234901,38384,22077,24045,2623,24779,101172,21821,5264,27083,7758,2534,16752
Tower Hamlets,203953,40719,18928,17734,1821,20643,83675,20433,4599,24722,7402,2544,14724
Wandsworth,255989,29622,16903,21454,2509,25485,137142,22874,4273,17479,5767,1608,10055
Westminster,186812,23943,12308,14497,1420,17113,93946,23585,3174,18736,3506,1105,14078
Barking and Dagenham,137613,38396,20904,20617,2888,12759,28715,13334,4620,9882,3336,1335,5187
Barnet,282152,43833,27240,34028,3778,28742,113815,30716,8373,20589,6018,1907,12612
Bexley,184431,42366,31049,32694,6951,21334,40146,9891,5839,8356,2955,801,4539
Brent,248458,47721,25718,26967,3059,24163,82619,38211,7203,22545,7569,2449,12467
Bromley,248806,44572,33858,40025,6773,28644,82304,12630,7170,8470,3103,643,4684
Croydon,284268,50081,39285,43299,6018,32498,90321,22766,9093,16784,6180,1926,8619
Ealing,269572,44366,26592,28237,3905,25887,99836,40749,7307,20423,6809,2099,11472
Enfield,242465,55736,31158,33389,4715,25557,69627,22283,7914,16901,5325,1976,9556
Greenwich,199163,41082,23896,26189,3766,21250,66120,16860,5293,17560,6495,2225,8813
Harrow,190998,31997,20852,24447,3271,19870,70218,20343,6297,12968,4318,1137,7484
Havering,192844,50951,32241,33519,7238,21797,37498,9600,5668,6560,2436,586,3488
Hillingdon,217043,41548,30336,30853,6316,27094,60854,20042,6481,19383,6285,1963,11096
Hounslow,202424,35084,23767,23364,3401,19798,69955,27055,5416,15015,5782,1580,7623
Kingston upon Thames,129790,17400,12665,15792,2568,17482,53782,10101,3155,13227,4344,1280,7573
Merton,160840,24378,15900,18875,2689,15928,66091,16979,4103,9657,3507,833,5294
Redbridge,216112,39877,26437,28374,3648,22208,73299,22269,7095,16527,5126,1980,9379
Richmond upon Thames,150052,15915,11075,15916,2304,15920,79584,9338,3383,7331,2563,558,4195
Sutton,152158,28330,21588,24423,4374,18023,45775,9645,4648,5641,2374,469,2777
Waltham Forest,203131,42262,24934,25845,3494,20340,60914,25342,5676,16931,5650,1878,9352
Bracknell Forest,89743,14639,13755,15191,3032,11389,27197,4540,2852,2392,1233,163,980
Brighton and Hove,229024,36775,25190,28769,4854,36599,84423,12414,5065,27229,8230,2676,16285
Isle of Wight,115589,28078,16865,19395,5799,14128,26163,5161,3106,2592,993,249,1332
Medway,210511,48226,35473,38653,9857,26818,40275,11209,6409,9800,3621,1034,5114
Milton Keynes,193429,34850,30794,32222,6579,22205,54591,12188,5609,6823,3001,681,3125
Portsmouth,167256,35405,21980,25073,6545,30068,39630,8555,4135,21322,5781,2171,13336
Reading,125582,21834,15328,15407,3170,16875,43690,9278,2845,12007,4104,841,7046
Slough,106645,21434,15673,14256,2371,10790,27560,14561,3388,6146,2429,662,3045
Southampton,195534,40991,25287,27209,7156,33882,48145,12864,4088,28061,7787,2425,17811
West Berkshire,122731,21065,17378,19880,4778,14916,39406,5308,3820,2624,1313,147,1146
Windsor and Maidenhead,115900,18134,13448,16685,3476,12933,44500,6724,3581,3242,1263,166,1790
Wokingham,123010,16226,14460,18557,4158,15313,49184,5112,3707,3899,1660,281,1941
Aylesbury Vale,138567,24059,19099,22857,5014,16894,44291,6353,4192,4153,1664,278,2196
Chiltern,73679,10864,7858,11150,2420,8143,30179,3065,2320,1875,775,97,993
South Bucks,54201,8954,6395,7997,1865,6034,19977,2979,1593,1628,626,89,907
Wycombe,136787,23780,17123,20734,4964,16905,45899,7382,4115,6452,2614,611,3207
Eastbourne,82691,19215,11408,13763,2899,10418,20194,4794,2246,3986,1600,352,2022
Hastings,73488,18649,11600,12830,2220,8877,15604,3708,2058,2370,1005,231,1127
Lewes,80534,17276,11126,12662,2723,9511,23690,3546,2089,2163,971,137,1032
Rother,76359,18858,10542,12596,2886,8551,19438,3488,1988,1645,632,98,897
Wealden,122443,24347,16937,21218,4516,14998,35360,5067,3434,2803,1325,157,1302
Basingstoke and Deane,133947,23226,19647,21918,5152,16902,40793,6309,3618,3047,1638,246,1154
East Hampshire,94019,15857,11719,15640,3338,11986,31844,3635,2944,2409,1079,124,1189
Eastleigh,101482,17907,14410,17461,5779,13524,28326,4075,2776,2698,1323,178,1181
Fareham,92153,16181,12058,15691,5058,12403,27419,3343,2632,2614,1348,176,1078
Gosport,66402,14347,10754,12046,3292,8883,14265,2815,1827,1825,831,172,813
Hart,72681,9815,9036,11746,2579,9451,27248,2806,2126,1661,829,82,744
Havant,98807,24746,14619,16913,4787,11812,22017,3913,2733,2569,1228,237,1081
New Forest,147514,31178,19579,24647,8013,17739,40184,6174,3493,3015,1582,156,1255
Rushmoor,74854,13947,12318,12838,2703,9362,18493,5193,2229,2514,1228,202,1076
Test Valley,94414,17330,12841,15581,4223,11768,28825,3846,2747,2187,1030,120,1028
Winchester,95110,13828,9163,13910,2944,13260,38669,3336,3023,6503,2480,549,3467
Ashford,93411,19777,14578,16639,3602,11229,23007,4579,2680,2544,1287,234,1015
Canterbury,125971,25778,14824,18056,4212,22117,34385,6599,3282,18354,5007,1970,11363
Dartford,77342,16334,13410,14036,3310,8930,17053,4269,2122,2215,1101,213,895
Dover,91382,22885,13376,15941,3371,11049,20071,4689,2605,2463,1021,194,1226
Gravesham,80964,19742,13242,13780,3442,8952,16164,5642,2548,2462,1072,256,1121
Maidstone,125476,25915,18336,22108,5112,15246,32154,6605,3463,3356,1542,236,1552
Sevenoaks,92481,17753,12708,15189,3158,10267,29580,3826,2861,2197,913,149,1121
Shepway,88760,21900,13239,15510,3394,10582,19324,4811,2447,2569,1216,247,1090
Swale,108539,29703,17640,18442,4777,12202,20535,5240,3090,2649,1109,241,1290
Thanet,108556,30784,16100,17833,4198,12245,21284,6112,2975,3673,1544,351,1758
Tonbridge and Malling,95821,19135,14401,16945,3874,11646,25967,3853,3215,2405,1155,154,1086
Tunbridge Wells,91483,15620,11311,15148,2542,11054,31687,4121,3046,2670,1085,129,1443
Cherwell,113422,22331,17202,17949,4671,13210,31830,6229,3084,3027,1387,161,1465
Oxford,126725,17287,10519,11341,2338,22581,53977,8682,2879,29952,5841,1115,22968
South Oxfordshire,108232,17827,13133,16120,4116,12936,39727,4373,2885,2531,1125,118,1272
Vale of White Horse,97867,16328,11559,14307,3968,11281,36420,4004,2856,2744,1206,148,1368
